Tree,Common_Name,Botanical,DBH,Age_Class,Condition
500,Maple-Norway,Acer platanoides,8,Semi-mature,Poor
501,Maple-Norway,Acer platanoides,13,Semi-mature,Fair
502,Juniper-Chinese,Juniperus chinensis,6,Semi-mature,Good
503,Linden-European,Tilia x europaea,4,Young,Good
504,Linden-European,Tilia x europaea,4,Young,Good
505,Linden-European,Tilia x europaea,4,Young,Fair
506,Linden-European,Tilia x europaea,4,Young,Fair
507,Linden-European,Tilia x europaea,3,Young,Poor
508,Hornbeam-American,Carpinus caroliniana,3,Young,Poor
509,Hornbeam-American,Carpinus caroliniana,3,Young,Fair
510,Hornbeam-American,Carpinus caroliniana,3,Young,Good
511,Hornbeam-American,Carpinus caroliniana,3,Young,Fair
512,Hornbeam-American,Carpinus caroliniana,4,Young,Fair
513,Hornbeam-American,Carpinus caroliniana,3,Young,Good
514,Hornbeam-American,Carpinus caroliniana,4,Young,Good
515,Stewartia-Japanese,Stewartia pseudocamellia,2,Young,Good
516,Hornbeam-American,Carpinus caroliniana,3,Young,Good
517,Hornbeam-American,Carpinus caroliniana,4,Young,Good
518,Hornbeam-American,Carpinus caroliniana,3,Young,Good
519,Ash-Green,Fraxinus pennsylvanica,4,Young,Fair
520,Ash-Green,Fraxinus pennsylvanica,5,Young,Fair
521,Arborvitae-Eastern,Thuja occidentalis,3,Young,Good
522,Crabapple,Malus sp,8,Semi-mature,Good
523,Serviceberry,Amelanchier sp,5,Semi-mature,Fair
524,Maple-Norway,Acer platanoides,6,Semi-mature,Fair
525,Serviceberry,Amelanchier sp,3,Semi-mature,Fair
526,Lilac-Japanese Tree,Syringa reticulata,7,Semi-mature,Fair
527,Maple-Norway,Acer platanoides,10,Semi-mature,Poor
528,Maple-Sugar,Acer saccharum,15,Semi-mature,Poor
529,Pine-Austrian,Pinus nigra,16,Semi-mature,Fair
530,Pine-Austrian,Pinus nigra,14,Semi-mature,Fair
531,Pine-Austrian,Pinus nigra,15,Semi-mature,Fair
532,Ginkgo,Ginkgo biloba,10,Semi-mature,Good
533,Ash-Green,Fraxinus pennsylvanica,4,Young,Fair
534,Ash-Green,Fraxinus pennsylvanica,5,Young,Fair
535,Ash-Green,Fraxinus pennsylvanica,3,Young,Fair
536,Pear-Callery,Pyrus calleryana,3,Young,Poor
537,Pear-Callery,Pyrus calleryana,4,Young,Good
538,Maple-Sugar,Acer saccharum,2,Young,Poor
539,Pear-Callery,Pyrus calleryana,3,Young,Good
540,Pear-Callery,Pyrus calleryana,3,Young,Good
541,Pear-Callery,Pyrus calleryana,3,Young,Good
542,Pear-Callery,Pyrus calleryana,5,Young,Good
543,Maple-Sugar,Acer saccharum,3,Young,Fair
544,Pear-Callery,Pyrus calleryana,4,Young,Fair
545,Linden-European,Tilia x europaea,8,Young,Fair
546,Linden-European,Tilia x europaea,9,Semi-mature,Fair
547,Maple-Norway,Acer platanoides,14,Semi-mature,Fair
548,Spruce-Norway,Picea abies,16,Semi-mature,Fair
549,Maple-Norway,Acer platanoides,12,Semi-mature,Fair
550,Linden-European,Tilia x europaea,15,Semi-mature,Fair
551,Maple-Amur,Acer ginnala,8,Mature,Poor
552,Maple-Amur,Acer ginnala,9,Mature,Poor
553,Maple-Amur,Acer ginnala,6,Mature,Poor
554,Maple-Amur,Acer ginnala,5,Mature,Fair
555,Maple-Amur,Acer ginnala,5,Mature,Fair
556,Pine-Austrian,Pinus nigra,15,Semi-mature,Fair
557,Pine-Austrian,Pinus nigra,9,Semi-mature,Fair
558,Pine-Austrian,Pinus nigra,9,Semi-mature,Poor
559,Pine-Austrian,Pinus nigra,10,Semi-mature,Poor
560,Pine-Austrian,Pinus nigra,10,Semi-mature,Fair
561,Pine-Austrian,Pinus nigra,8,Semi-mature,Poor
562,Pine-Austrian,Pinus nigra,10,Semi-mature,Poor
563,Pine-Austrian,Pinus nigra,10,Semi-mature,Good
564,Pine-Austrian,Pinus nigra,13,Semi-mature,Fair
565,Pine-Austrian,Pinus nigra,9,Semi-mature,Fair
566,Pine-Austrian,Pinus nigra,10,Semi-mature,Good
567,Maple-Norway,Acer platanoides,13,Semi-mature,Good
568,Oak- Northern Red,Quercus rubra,9,Semi-mature,Fair
569,Oak-Pin,Quercus palustris,12,Semi-mature,Good
570,Oak-Pin,Quercus palustris,10,Semi-mature,Good
571,Maple-Sugar,Acer saccharum,18,Semi-mature,Fair
572,Fir-Douglas,Pseudotsuga menziesii,20,Mature,Fair
573,Oak-Pin,Quercus palustris,24,Mature,Fair
574,Maple-Norway,Acer platanoides,17,Semi-mature,Good
575,Spruce-Colorado Blue,Picea pungens,16,Semi-mature,Fair
576,Spruce-Colorado Blue,Picea pungens,25,Mature,Fair
577,Maple-Norway,Acer platanoides,14,Mature,Poor
578,Ginkgo,Ginkgo biloba,20,Semi-mature,Good
579,Ash-Green,Fraxinus pennsylvanica,22,Mature,Fair
580,Linden-Littleleaf,Tilia cordata,25,Mature,Good
581,Crabapple,Malus sp,8,Semi-mature,Good
582,Crabapple,Malus sp,8,Semi-mature,Fair
583,Crabapple,Malus sp,9,Semi-mature,Fair
584,Ginkgo,Ginkgo biloba,14,Semi-mature,Fair
585,Oak-Laurel,Quercus hemisphaerica,35,Mature,Fair
586,Oak- Northern Red,Quercus rubra,9,Young,Fair
587,Pine-Eastern White,Pinus strobus,18,Semi-mature,Fair
588,Pine-Eastern White,Pinus strobus,19,Semi-mature,Fair
589,Pine-Eastern White,Pinus strobus,8,Young,Good
590,Crabapple,Malus sp,6,Semi-mature,Fair
591,Crabapple,Malus sp,11,Semi-mature,Fair
592,Crabapple,Malus sp,8,Semi-mature,Fair
593,Spruce-Colorado Blue,Picea pungens,25,Mature,Fair
594,Pine-Scotch,Pinus sylvestris,8,Semi-mature,Fair
595,Spruce-Colorado Blue,Picea pungens,19,Semi-mature,Fair
596,Arborvitae-Eastern,Thuja occidentalis,4,Young,Good
597,Linden-Littleleaf,Tilia cordata,17,Semi-mature,Fair
598,Linden-Littleleaf,Tilia cordata,8,Young,Fair
599,Linden-Littleleaf,Tilia cordata,9,Young,Fair
600,Arborvitae-Eastern,Thuja occidentalis,5,Semi-mature,Fair
601,Birch-River,Betula nigra,4,Young,Fair
602,Birch-River,Betula nigra,4,Young,Good
603,Birch-River,Betula nigra,3,Young,Good
604,Zelkova-Japanese,Zelkova serrata,5,Young,Good
605,Zelkova-Japanese,Zelkova serrata,5,Young,Good
606,Zelkova-Japanese,Zelkova serrata,6,Young,Good
607,Zelkova-Japanese,Zelkova serrata,6,Young,Good
608,Zelkova-Japanese,Zelkova serrata,6,Young,Good
609,Zelkova-Japanese,Zelkova serrata,6,Young,Good
610,Zelkova-Japanese,Zelkova serrata,5,Young,Good
611,Zelkova-Japanese,Zelkova serrata,5,Young,Fair
612,Zelkova-Japanese,Zelkova serrata,3,Young,Good
613,Zelkova-Japanese,Zelkova serrata,5,Young,Good
614,Zelkova-Japanese,Zelkova serrata,5,Young,Good
615,Oak- Northern Red,Quercus rubra,5,Young,Good
616,Elm,Ulmus sp,6,Young,Good
617,Oak- Northern Red,Quercus rubra,4,Young,Good
618,Maple-Sugar,Acer saccharum,8,Young,Good
619,Oak-Swamp White,Quercus bicolor,4,Young,Good
620,Honeylocust-Thornless Common,Gleditsia triacanthos,4,Young,Good
621,Honeylocust-Thornless Common,Gleditsia triacanthos,4,Young,Good
622,Honeylocust-Thornless Common,Gleditsia triacanthos,4,Young,Good
623,Oak-Swamp White,Quercus bicolor,4,Young,Good
624,Oak-Swamp White,Quercus bicolor,4,Young,Good
625,Pear-Callery,Pyrus calleryana,4,Young,Good
626,Dogwood-Corneliancherry,Cornus mas,2,Young,Good
627,Crabapple,Malus sp,3,Young,Good
628,Serviceberry,Amelanchier sp,2,Young,Good
629,Serviceberry,Amelanchier sp,2,Young,Good
630,Cherry,Prunus sp,4,Young,Good
631,Cherry,Prunus sp,2,Young,Good
632,Zelkova-Japanese,Zelkova serrata,6,Young,Good
633,Zelkova-Japanese,Zelkova serrata,5,Young,Good
634,Zelkova-Japanese,Zelkova serrata,5,Young,Good
635,Zelkova-Japanese,Zelkova serrata,6,Young,Good
636,Mulberry-White,Morus alba,2,Young,Good
637,Zelkova-Japanese,Zelkova serrata,4,Young,Fair
638,Zelkova-Japanese,Zelkova serrata,4,Young,Fair
639,Fir-Balsam,Abies balsamea,2,Young,Good
640,Fir-Balsam,Abies balsamea,2,Young,Good
641,Fir-Balsam,Abies balsamea,2,Young,Good
642,Serviceberry,Amelanchier sp,2,Young,Fair
643,Serviceberry,Amelanchier sp,2,Young,Fair
644,Serviceberry,Amelanchier sp,2,Young,Good
645,Serviceberry,Amelanchier sp,2,Young,Good
646,Serviceberry,Amelanchier sp,2,Young,Good
647,Cherry,Prunus sp,2,Young,Good
648,Serviceberry,Amelanchier sp,2,Young,Fair
649,Serviceberry,Amelanchier sp,2,Young,Fair
650,Serviceberry,Amelanchier sp,2,Young,Good
651,Serviceberry,Amelanchier sp,2,Young,Fair
652,Serviceberry,Amelanchier sp,2,Young,Good
653,Serviceberry,Amelanchier sp,2,Young,Good
654,Serviceberry,Amelanchier sp,2,Young,Good
655,Oak-English,Quercus robur,4,Young,Good
656,Oak-English,Quercus robur,4,Young,Good
657,Oak-English,Quercus robur,3,Young,Good
658,Oak-English,Quercus robur,4,Young,Good
659,Serviceberry,Amelanchier sp,2,Young,Fair
660,Serviceberry,Amelanchier sp,2,Young,Good
661,Serviceberry,Amelanchier sp,2,Young,Good
662,Serviceberry,Amelanchier sp,2,Young,Fair
663,Elm,Ulmus sp,4,Young,Good
664,Elm,Ulmus sp,4,Young,Good
665,Cedar-Alaska,Callitropsis nootkatensis,2,Young,Good
666,Cedar-Alaska,Callitropsis nootkatensis,4,Young,Good
667,Cedar-Alaska,Callitropsis nootkatensis,3,Young,Good
668,Yellowwood,Cladrastis kentukea,3,Young,Good
669,Elm,Ulmus sp,4,Young,Good
670,Elm,Ulmus sp,5,Young,Good
671,Elm,Ulmus sp,5,Young,Good
672,Elm,Ulmus sp,5,Young,Good
673,Elm,Ulmus sp,4,Young,Good
674,Baldcypress-Common,Taxodium distichum,2,Young,Good
675,Redwood-Dawn,Metasequoia glyptostroboides,4,Young,Good
676,Redwood-Dawn,Metasequoia glyptostroboides,4,Young,Good
677,Honeylocust-Thornless Common,Gleditsia triacanthos,4,Young,Good
678,Smoketree-Common,Cotinus coggygria,2,Young,Good
679,Yellowwood,Cladrastis kentukea,4,Young,Good
680,Cedar-Alaska,Callitropsis nootkatensis,2,Young,Good
681,Cedar-Alaska,Callitropsis nootkatensis,2,Young,Good
682,Cedar-Alaska,Callitropsis nootkatensis,2,Young,Good
683,Dogwood-Flowering,Cornus florida,2,Young,Good
684,wafer ash,Ptelea trifoliata,1,Young,Good
685,Dogwood-Flowering,Cornus florida,2,Young,Good
686,Persimmon,Diospyros virginiana,4,Young,Good
687,Persimmon,Diospyros virginiana,2,Young,Good
688,Persimmon,Diospyros virginiana,4,Young,Good
689,Devils Walkingstick,Aralia spinosa,2,Young,Good
690,Cherry,Prunus sp,1,Young,Good
691,Fir-Nordman,Abies nordmanniana,6,Young,Good
692,Fir-Nordman,Abies nordmanniana,4,Young,Good
693,Fir-Nordman,Abies nordmanniana,3,Young,Fair
694,Fir-Nordman,Abies nordmanniana,6,Young,Fair
695,Redbud-Eastern,Cercis canadensis,2,Young,Good
696,Redbud-Eastern,Cercis canadensis,3,Young,Good
697,Coffeetree-Kentucky,Gymnocladus dioicus,2,Young,Good
698,Cherry,Prunus sp,2,Young,Good
699,Redwood-Dawn,Metasequoia glyptostroboides,3,Young,Good
700,Redwood-Dawn,Metasequoia glyptostroboides,2,Young,Good
701,Silverbell-Four Winged,Halesia tetraptera,1,Young,Good
702,Redwood-Dawn,Metasequoia glyptostroboides,2,Young,Good
703,Cherry,Prunus sp,2,Young,Good
704,Sassafras-Common,Sassafras albidum,2,Young,Good
705,Dogwood-Flowering,Cornus florida,1,Young,Good
706,Redbud-Eastern,Cercis canadensis,1,Young,Good
707,Yellowwood,Cladrastis kentukea,1,Young,Good
708,Serviceberry,Amelanchier sp,2,Young,Good
709,Serviceberry,Amelanchier sp,2,Young,Good
710,Elm-Scotch,Ulmus glabra,2,Young,Good
711,Silverbell-Four Winged,Halesia tetraptera,5,Mature,Good
712,Silverbell-Four Winged,Halesia tetraptera,7,Mature,Good
713,Hornbeam-American,Carpinus caroliniana,7,Mature,Good
714,Devils Walkingstick,Aralia spinosa,2,Mature,Fair
715,Katsuratree,Cercidiphyllum japonicum,4,Semi-mature,Good
716,Birch-River,Betula nigra,2,Young,Good
717,Crabapple,Malus sp,3,Semi-mature,Good
718,Crabapple,Malus sp,5,Mature,Fair
719,Crabapple,Malus sp,9,Mature,Good
720,Crabapple,Malus sp,9,Mature,Good
721,Crabapple,Malus sp,13,Mature,Good
722,Crabapple,Malus sp,5,Mature,Good
723,Crabapple,Malus sp,10,Mature,Good
724,Linden-Silver,Tilia tomentosa,6,Semi-mature,Good
725,Linden-Silver,Tilia tomentosa,5,Semi-mature,Good
726,Linden-Silver,Tilia tomentosa,6,Semi-mature,Good
727,Linden-Silver,Tilia tomentosa,6,Semi-mature,Good
728,Linden-Silver,Tilia tomentosa,6,Semi-mature,Good
729,Linden-Silver,Tilia tomentosa,5,Semi-mature,Good
730,Linden-Silver,Tilia tomentosa,5,Semi-mature,Good
731,Honeylocust-Thornless Common,Gleditsia triacanthos,6,Semi-mature,Good
732,Juniper,Juniperus sp,2,Semi-mature,Fair
733,Serviceberry,Amelanchier sp,5,Semi-mature,Fair
734,Serviceberry,Amelanchier sp,3,Semi-mature,Fair
735,Crabapple,Malus sp,12,Mature,Good
736,Crabapple,Malus sp,9,Mature,Good
737,Maple-Sugar,Acer saccharum,24,Mature,Fair
738,Beech-European,Fagus sylvatica,26,Mature,Good
739,Maple-Sugar,Acer saccharum,20,Mature,Good
740,Maple-Sugar,Acer saccharum,34,Over-mature,Fair
741,Maple-Sugar,Acer saccharum,28,Mature,Fair
742,Maple-Japanese,Acer palmatum,2,Semi-mature,Good
743,Falsecypress-Hinoki,Chamaecyparis obtusa,2,Young,Fair
744,Falsecypress-Sawara,Chamaecyparis pisifera,2,Young,Good
745,Spruce-Norway,Picea abies,9,Semi-mature,Good
746,Spruce-Norway,Picea abies,5,Young,Good
747,Cherry,Prunus sp,15,Mature,Good
748,Juniper,Juniperus sp,2,Young,Fair
749,Crimson King Maple,Acer platanoides,18,Mature,Good
750,Cherry,Prunus sp,7,Semi-mature,Good
751,Beech-European,Fagus sylvatica,19,Semi-mature,Good
752,Crabapple,Malus sp,6,Mature,Good
753,Hawthorn,Crataegus sp,4,Mature,Good
754,Hawthorn,Crataegus sp,4,Mature,Good
755,Crabapple,Malus sp,7,Mature,Fair
756,Serviceberry,Amelanchier sp,3,Semi-mature,Good
757,Hawthorn,Crataegus sp,6,Mature,Fair
758,Serviceberry,Amelanchier sp,2,Semi-mature,Good
759,Oak- Northern Red,Quercus rubra,3,Young,Fair
760,Beech-American,Fagus grandifolia,2,Young,Good
761,Oak-English,Quercus robur,2,New planting,Good
762,swamp chestnut oak,Quercus michauxii,3,Young,Good
763,Birch-River,Betula nigra,3,Young,Fair
764,Birch-River,Betula nigra,2,Young,Fair
765,Birch-River,Betula nigra,2,Young,Fair
766,Elm-Scotch,Ulmus glabra,2,Young,Good
767,Elm-Siberian,Ulmus pumila,25,Mature,Fair
768,Baldcypress-Common,Taxodium distichum,4,Young,Good
769,Baldcypress-Common,Taxodium distichum,2,Young,Good
770,Baldcypress-Common,Taxodium distichum,4,Young,Good
771,Baldcypress-Common,Taxodium distichum,3,Young,Good
772,Baldcypress-Common,Taxodium distichum,2,Young,Good
773,Birch-River,Betula nigra,8,Mature,Good
774,Maple-Japanese,Acer palmatum,2,Semi-mature,Fair
775,Maple-Paperbark,Acer griseum,3,Young,Good
776,Katsuratree,Cercidiphyllum japonicum,2,Semi-mature,Good
777,Devils Walkingstick,Aralia spinosa,3,Semi-mature,Good
778,Ginkgo,Ginkgo biloba,3,Young,Good
779,Poplar-Lombardy,Populus nigra,5,Semi-mature,Good
780,Poplar-Lombardy,Populus nigra,6,Semi-mature,Good
781,Poplar-Lombardy,Populus nigra,7,Semi-mature,Good
782,Magnolia-Bigleaf,Magnolia macrophylla,5,Semi-mature,Good
783,Magnolia-Southern,Magnolia grandiflora,3,Semi-mature,Fair
784,Serviceberry,Amelanchier sp,2,Young,Poor
785,Serviceberry,Amelanchier sp,2,Young,Fair
786,Serviceberry,Amelanchier sp,2,Young,Fair
787,Serviceberry,Amelanchier sp,2,Young,Fair
788,Elm,Ulmus sp,4,Young,Fair
789,Elm,Ulmus sp,3,Young,Poor
790,Elm,Ulmus sp,3,Young,Poor
791,Elm,Ulmus sp,4,Young,Good
792,Elm,Ulmus sp,4,Young,Good
793,Elm,Ulmus sp,4,Young,Good
794,Elm,Ulmus sp,5,Young,Good
795,Elm,Ulmus sp,5,Young,Good
796,Elm,Ulmus sp,4,Young,Good
797,Elm,Ulmus sp,5,Young,Good
798,Horsechestnut-Common,Aesculus hippocastanum,23,Mature,Fair
799,Spruce-White,Picea glauca,2,Young,Good
800,Spruce-White,Picea glauca,2,Young,Good
801,Spruce-White,Picea glauca,2,Young,Good
802,Spruce-White,Picea glauca,2,Young,Good
803,Spruce-White,Picea glauca,2,Young,Good
804,Spruce-White,Picea glauca,4,Young,Good
805,Spruce-White,Picea glauca,4,Young,Good
806,Spruce-White,Picea glauca,2,Young,Good
807,Spruce-White,Picea glauca,3,Young,Good
808,Spruce-White,Picea glauca,2,Young,Good
809,Spruce-White,Picea glauca,2,Young,Good
810,Birch-Paper,Betula papyrifera,2,Young,Fair
811,Birch-Paper,Betula papyrifera,2,Young,Fair
812,Birch-Paper,Betula papyrifera,2,Young,Fair
813,Birch-Paper,Betula papyrifera,2,Young,Fair
814,Birch-Paper,Betula papyrifera,2,Young,Fair
815,Birch-Paper,Betula papyrifera,2,Young,Fair
816,Birch-Paper,Betula papyrifera,2,Young,Fair
817,Birch-Paper,Betula papyrifera,2,Young,Fair
818,Birch-Paper,Betula papyrifera,2,Young,Fair
819,Birch-Paper,Betula papyrifera,3,Young,Fair
820,Spruce-White,Picea glauca,1,Young,Good
821,Spruce-White,Picea glauca,2,Young,Good
822,Ash-Green,Fraxinus pennsylvanica,23,Mature,Fair
823,Birch-Paper,Betula papyrifera,3,Young,Fair
824,Birch-Paper,Betula papyrifera,3,Young,Fair
825,Birch-Paper,Betula papyrifera,3,Young,Fair
826,Linden-Littleleaf,Tilia cordata,11,Semi-mature,Good
827,Oak-Pin,Quercus palustris,12,Semi-mature,Fair
828,Linden-European,Tilia x europaea,16,Semi-mature,Fair
829,Ash-Green,Fraxinus pennsylvanica,20,Mature,Good
830,Spruce-White,Picea glauca,2,Young,Good
831,Birch-Paper,Betula papyrifera,3,Young,Fair
832,Spruce-White,Picea glauca,3,Young,Fair
833,Birch-Paper,Betula papyrifera,3,Young,Fair
834,Birch-Paper,Betula papyrifera,3,Young,Fair
835,Spruce-White,Picea glauca,3,Young,Good
836,Spruce-White,Picea glauca,6,Young,Good
837,Pine-Austrian,Pinus nigra,6,Young,Fair
838,Spruce-Colorado Blue,Picea pungens,8,Semi-mature,Good
839,Pine-Austrian,Pinus nigra,7,Semi-mature,Good
840,Smoketree-American,Cotinus obovatus,6,Mature,Fair
841,Crabapple,Malus sp,6,Mature,Good
842,Crabapple,Malus sp,6,Mature,Good
843,Spruce-Colorado Blue,Picea pungens,0,Semi-mature,Good
844,Spruce-Colorado Blue,Picea pungens,14,Semi-mature,Good
845,Crabapple,Malus sp,9,Mature,Good
846,Crabapple,Malus sp,9,Mature,Good
847,Crabapple,Malus sp,10,Mature,Good
848,Crabapple,Malus sp,2,Young,Good
849,Hawthorn,Crataegus sp,13,Mature,Good
850,Spruce-Norway,Picea abies,15,Mature,Fair
851,Spruce-White,Picea glauca,2,Young,Good
852,Spruce-White,Picea glauca,3,Young,Good
853,Spruce-White,Picea glauca,3,Young,Fair
854,Spruce-Norway,Picea abies,19,Mature,Fair
855,Spruce-Norway,Picea abies,19,Mature,Fair
856,Spruce-Norway,Picea abies,14,Semi-mature,Fair
857,Mulberry-White,Morus alba,2,Young,Fair
858,Hawthorn,Crataegus sp,6,Mature,Good
859,Spruce-Norway,Picea abies,13,Semi-mature,Fair
860,Spruce-Norway,Picea abies,15,Semi-mature,Fair
861,Spruce-Norway,Picea abies,15,Semi-mature,Fair
862,Spruce-White,Picea glauca,2,Young,Good
863,Spruce-White,Picea glauca,2,Young,Fair
864,Spruce-White,Picea glauca,2,Young,Fair
865,Hawthorn,Crataegus sp,6,Over-mature,Poor
866,Linden-Silver,Tilia tomentosa,10,Semi-mature,Good
867,Birch-Paper,Betula papyrifera,4,Semi-mature,Good
868,Birch-Paper,Betula papyrifera,5,Semi-mature,Good
869,Spruce-White,Picea glauca,14,Semi-mature,Good
870,Spruce-Norway,Picea abies,13,Semi-mature,Fair
871,Spruce-White,Picea glauca,5,Young,Dead
872,Spruce-Norway,Picea abies,14,Semi-mature,Fair
873,Birch-Paper,Betula papyrifera,3,Semi-mature,Poor
874,Birch-Paper,Betula papyrifera,3,Semi-mature,Good
875,Birch-Paper,Betula papyrifera,4,Semi-mature,Good
876,Spruce-White,Picea glauca,14,Semi-mature,Fair
877,Oak- Northern Red,Quercus rubra,20,Mature,Poor
878,Oak- Northern Red,Quercus rubra,20,Mature,Fair
879,Linden-American,Tilia americana,4,Young,Fair
880,Oak- Northern Red,Quercus rubra,17,Semi-mature,Fair
881,Oak- Northern Red,Quercus rubra,16,Semi-mature,Fair
882,Spruce-Norway,Picea abies,18,Mature,Fair
883,Fir-Douglas,Pseudotsuga menziesii,21,Mature,Poor
884,Spruce-Norway,Picea abies,16,Semi-mature,Fair
885,Spruce-Norway,Picea abies,8,Semi-mature,Dead
886,Spruce-Norway,Picea abies,18,Semi-mature,Fair
887,Spruce-Norway,Picea abies,16,Mature,Fair
888,Spruce-Norway,Picea abies,20,Mature,Fair
889,Linden-American,Tilia americana,24,Mature,Fair
890,Oak- Northern Red,Quercus rubra,28,Mature,Fair
891,Oak- Northern Red,Quercus rubra,24,Mature,Fair
892,Oak-Swamp White,Quercus bicolor,22,Mature,Fair
893,Maple-Norway,Acer platanoides,3,Young,Good
894,Maple-Norway,Acer platanoides,3,Young,Fair
895,Maple-Norway,Acer platanoides,5,Young,Fair
896,Maple-Norway,Acer platanoides,3,Young,Fair
897,Maple-Norway,Acer platanoides,3,Young,Fair
898,Maple-Norway,Acer platanoides,5,Young,Good
899,Maple-Norway,Acer platanoides,3,Young,Good
900,Maple-Norway,Acer platanoides,4,Young,Good
901,Maple-Norway,Acer platanoides,4,Young,Good
902,Maple-Norway,Acer platanoides,4,Young,Good
903,Maple-Norway,Acer platanoides,4,Young,Good
904,Crabapple,Malus sp,5,Young,Good
905,Cherry-Pin,Prunus pennsylvanica,1,New planting,Good
906,Maple-Norway,Acer platanoides,8,Young,Fair
907,Maple-Norway,Acer platanoides,7,Young,Fair
908,Maple-Norway,Acer platanoides,7,Young,Fair
909,Maple-Norway,Acer platanoides,7,Young,Good
910,Maple-Norway,Acer platanoides,5,Young,Fair
911,Arborvitae-Eastern,Thuja occidentalis,2,Young,Fair
912,Oak- Northern Red,Quercus rubra,3,Young,Fair
913,Crabapple,Malus sp,5,Young,Good
914,Crabapple,Malus sp,5,Young,Good
915,Crabapple,Malus sp,2,Young,Good
916,Crabapple,Malus sp,3,Young,Good
917,Crabapple,Malus sp,3,Young,Good
918,Oak- Northern Red,Quercus rubra,3,Young,Poor
919,Oak- Northern Red,Quercus rubra,3,Young,Fair
920,Oak- Northern Red,Quercus rubra,3,Young,Fair
921,Oak- Northern Red,Quercus rubra,3,Young,Poor
922,Oak- Northern Red,Quercus rubra,4,Young,Poor
923,Oak- Northern Red,Quercus rubra,4,Young,Poor
924,Oak- Northern Red,Quercus rubra,4,Young,Fair
925,Oak- Northern Red,Quercus rubra,4,Young,Fair
926,Oak- Northern Red,Quercus rubra,3,Young,Fair
927,Oak- Northern Red,Quercus rubra,4,Young,Fair
928,Oak- Northern Red,Quercus rubra,4,Young,Poor
929,Oak- Northern Red,Quercus rubra,3,Young,Poor
930,Oak- Northern Red,Quercus rubra,3,Young,Poor
931,Oak- Northern Red,Quercus rubra,3,Young,Poor
932,Oak- Northern Red,Quercus rubra,4,Young,Fair
933,Oak- Northern Red,Quercus rubra,4,Young,Fair
934,Oak- Northern Red,Quercus rubra,4,Young,Fair
935,Oak- Northern Red,Quercus rubra,3,Young,Good
936,Oak- Northern Red,Quercus rubra,3,Young,Poor
937,Maple-Red,Acer rubrum,5,Young,Poor
938,Maple-Red,Acer rubrum,6,Young,Fair
939,Birch-Paper,Betula papyrifera,4,Young,Fair
940,Oak- Northern Red,Quercus rubra,3,Young,Fair
941,Oak- Northern Red,Quercus rubra,4,Young,Fair
942,Oak- Northern Red,Quercus rubra,3,Young,Good
943,Oak- Northern Red,Quercus rubra,3,Young,Fair
944,Oak- Northern Red,Quercus rubra,2,Young,Poor
945,Oak- Northern Red,Quercus rubra,3,Young,Poor
946,Hackberry,Celtis occidentalis,2,Young,Poor
947,Hackberry,Celtis occidentalis,3,Young,Fair
948,Hackberry,Celtis occidentalis,4,Young,Poor
949,Hackberry,Celtis occidentalis,4,Young,Good
950,Hackberry,Celtis occidentalis,3,Young,Fair
951,Hackberry,Celtis occidentalis,2,Young,Poor
952,Hackberry,Celtis occidentalis,4,Young,Fair
953,Hackberry,Celtis occidentalis,5,Young,Good
954,Hackberry,Celtis occidentalis,3,Young,Fair
955,Oak- Northern Red,Quercus rubra,16,Semi-mature,Good
956,Horsechestnut-Common,Aesculus hippocastanum,15,Semi-mature,Good
957,Oak- Northern Red,Quercus rubra,2,Young,Fair
958,Oak- Northern Red,Quercus rubra,3,Young,Fair
959,Oak- Northern Red,Quercus rubra,9,Young,Fair
960,Oak-Bur,Quercus macrocarpa,8,Young,Good
961,Oak- Northern Red,Quercus rubra,8,Young,Fair
962,Oak- Northern Red,Quercus rubra,9,Young,Fair
963,Oak-Pin,Quercus palustris,14,Semi-mature,Fair
964,Oak-Bur,Quercus macrocarpa,6,Young,Fair
965,Oak- Northern Red,Quercus rubra,15,Semi-mature,Fair
966,Oak- Northern Red,Quercus rubra,8,Young,Fair
967,Oak- Northern Red,Quercus rubra,5,Young,Fair
968,Oak- Northern Red,Quercus rubra,6,Young,Fair
969,Oak- Northern Red,Quercus rubra,11,Semi-mature,Poor
970,Oak-Pin,Quercus palustris,20,Semi-mature,Fair
971,Oak- Northern Red,Quercus rubra,4,Semi-mature,Fair
972,Crabapple,Malus sp,9,Semi-mature,Fair
973,Crabapple,Malus sp,5,Semi-mature,Fair
974,Crabapple,Malus sp,14,Semi-mature,Fair
975,Ash-Green,Fraxinus pennsylvanica,0,Young,Fair
976,Crabapple,Malus sp,15,Mature,Fair
977,Crabapple,Malus sp,17,Mature,Fair
978,Crabapple,Malus sp,18,Mature,Fair
979,Crabapple,Malus sp,18,Mature,Fair
980,Crabapple,Malus sp,19,Mature,Fair
981,Crabapple,Malus sp,17,Mature,Fair
982,Crabapple,Malus sp,15,Mature,Fair
983,Crabapple,Malus sp,16,Mature,Fair
984,Crabapple,Malus sp,17,Mature,Fair
985,Maple-Sugar,Acer saccharum,24,Mature,Fair
986,Maple-Sugar,Acer saccharum,25,Mature,Good
987,Maple-Sugar,Acer saccharum,31,Mature,Fair
988,Maple-Sugar,Acer saccharum,24,Mature,Fair
989,Maple-Sugar,Acer saccharum,27,Mature,Fair
990,Maple-Sugar,Acer saccharum,26,Mature,Good
991,Maple-Sugar,Acer saccharum,18,Mature,Poor
